participant,direction,grating,A0,a,start,A,B,n_step
201,decrement,0,1.0,1.1,0.011,1.0,0.0,21.0
201,decrement,5,1.0,1.1,0.011,1.0,0.0,21.0
201,decrement,10,1.0,1.1,0.011,1.0,0.0,21.0
201,decrement,20,1.0,1.1,0.011,2.0,0.0,21.0
201,increment,0,0.0,1.1,0.011,1.0,0.0,21.0
201,increment,5,0.0,1.1,0.011,0.0,0.0,21.0
201,increment,10,0.0,1.1,0.011,0.0,0.0,21.0
201,increment,20,0.0,1.1,0.011,4.0,0.0,21.0
202,decrement,0,1.0,1.12,0.01,1.0,0.0,15.0
202,decrement,5,1.0,1.1,0.01,1.0,0.0,15.0
202,decrement,10,1.0,1.1,0.011,1.0,0.0,15.0
202,decrement,20,1.0,1.1,0.011,2.0,0.0,15.0
202,increment,0,0.0,1.12,0.01,0.0,0.0,15.0
202,increment,5,0.0,1.1,0.01,3.0,0.0,15.0
202,increment,10,0.0,1.1,0.011,0.0,0.0,15.0
202,increment,20,0.0,1.1,0.011,0.0,0.0,15.0
203,decrement,0,1.0,1.11,0.011,1.0,0.0,29.0
203,decrement,5,1.0,1.14,0.007,8.0,0.0,29.0
203,decrement,10,1.0,1.07,0.013,1.0,0.0,29.0
203,decrement,20,1.0,1.1,0.011,1.0,0.0,29.0
203,increment,0,1.0,1.11,0.011,1.0,0.0,29.0
203,increment,5,1.0,1.14,0.007,1.0,0.0,29.0
203,increment,10,1.0,1.07,0.013,1.0,0.0,29.0
203,increment,20,1.0,1.1,0.011,1.0,0.0,29.0
204,decrement,0,2.0,1.13,0.006,2.0,11.0,20.0
204,decrement,5,2.0,1.09,0.012,2.0,11.0,20.0
204,decrement,10,2.0,1.1,0.011,2.0,11.0,20.0
204,decrement,20,2.0,1.1,0.011,2.0,11.0,20.0
204,increment,0,3.0,1.13,0.006,2.0,11.0,20.0
204,increment,5,3.0,1.09,0.012,3.0,11.0,20.0
204,increment,10,3.0,1.1,0.011,2.0,11.0,20.0
204,increment,20,3.0,1.1,0.011,3.0,11.0,20.0
205,decrement,0,5.0,1.13,0.011,5.0,0.0,15.0
205,decrement,5,5.0,1.1,0.011,4.0,0.0,15.0
205,decrement,10,5.0,1.1,0.011,6.0,0.0,15.0
205,decrement,20,5.0,1.1,0.011,5.0,0.0,15.0
205,increment,0,4.0,1.13,0.011,0.0,0.0,15.0
205,increment,5,4.0,1.1,0.011,4.0,0.0,15.0
205,increment,10,4.0,1.1,0.011,2.0,0.0,15.0
205,increment,20,4.0,1.1,0.011,4.0,0.0,15.0
206,decrement,0,4.0,1.12,0.011,4.0,0.0,16.0
206,decrement,5,4.0,1.1,0.011,3.0,0.0,16.0
206,decrement,10,4.0,1.1,0.01,4.0,0.0,16.0
206,decrement,20,4.0,1.1,0.011,4.0,0.0,16.0
206,increment,0,2.0,1.12,0.011,2.0,0.0,16.0
206,increment,5,2.0,1.1,0.011,2.0,0.0,16.0
206,increment,10,2.0,1.1,0.01,2.0,0.0,16.0
206,increment,20,2.0,1.1,0.011,2.0,0.0,16.0
207,decrement,0,3.0,1.09,0.011,3.0,0.0,25.0
207,decrement,5,3.0,1.1,0.011,3.0,0.0,25.0
207,decrement,10,3.0,1.1,0.011,3.0,0.0,25.0
207,decrement,20,3.0,1.1,0.011,3.0,0.0,25.0
207,increment,0,5.0,1.09,0.011,5.0,0.0,25.0
207,increment,5,5.0,1.1,0.011,5.0,0.0,25.0
207,increment,10,5.0,1.1,0.011,5.0,0.0,25.0
207,increment,20,5.0,1.1,0.011,4.0,0.0,25.0
208,decrement,0,5.0,1.11,0.011,5.0,0.0,18.0
208,decrement,5,5.0,1.1,0.011,3.0,0.0,18.0
208,decrement,10,5.0,1.1,0.013,5.0,0.0,18.0
208,decrement,20,5.0,1.1,0.012,4.0,0.0,18.0
208,increment,0,1.0,1.11,0.011,1.0,0.0,18.0
208,increment,5,1.0,1.1,0.011,1.0,0.0,18.0
208,increment,10,1.0,1.1,0.013,2.0,0.0,18.0
208,increment,20,1.0,1.1,0.012,2.0,0.0,18.0
209,decrement,0,7.0,1.07,0.011,7.0,0.0,12.0
209,decrement,5,7.0,1.07,0.011,7.0,0.0,12.0
209,decrement,10,7.0,1.11,0.011,7.0,0.0,12.0
209,decrement,20,7.0,1.1,0.011,7.0,0.0,12.0
209,increment,0,1.0,1.07,0.011,1.0,0.0,12.0
209,increment,5,1.0,1.07,0.011,1.0,0.0,12.0
209,increment,10,1.0,1.11,0.011,0.0,0.0,12.0
209,increment,20,1.0,1.1,0.011,1.0,0.0,12.0
210,decrement,0,1.0,1.1,0.01,1.0,6.0,19.0
210,decrement,5,1.0,1.09,0.011,1.0,6.0,19.0
210,decrement,10,1.0,1.1,0.011,1.0,6.0,19.0
210,decrement,20,1.0,1.1,0.011,1.0,6.0,19.0
210,increment,0,1.0,1.1,0.01,1.0,6.0,19.0
210,increment,5,1.0,1.09,0.011,1.0,6.0,19.0
210,increment,10,1.0,1.1,0.011,2.0,6.0,19.0
210,increment,20,1.0,1.1,0.011,1.0,6.0,19.0
211,decrement,0,7.0,1.13,0.011,6.0,0.0,17.0
211,decrement,5,7.0,1.1,0.011,7.0,0.0,17.0
211,decrement,10,7.0,1.1,0.011,7.0,0.0,17.0
211,decrement,20,7.0,1.1,0.011,5.0,0.0,17.0
211,increment,0,3.0,1.13,0.011,1.0,0.0,17.0
211,increment,5,3.0,1.1,0.011,1.0,0.0,17.0
211,increment,10,3.0,1.1,0.011,3.0,0.0,17.0
211,increment,20,3.0,1.1,0.011,3.0,0.0,17.0
212,decrement,0,3.0,1.11,0.009,3.0,12.0,20.0
212,decrement,5,3.0,1.1,0.011,3.0,12.0,20.0
212,decrement,10,3.0,1.1,0.011,3.0,12.0,20.0
212,decrement,20,3.0,1.1,0.011,3.0,12.0,20.0
212,increment,0,1.0,1.11,0.009,1.0,12.0,20.0
212,increment,5,1.0,1.1,0.011,1.0,12.0,20.0
212,increment,10,1.0,1.1,0.011,1.0,12.0,20.0
212,increment,20,1.0,1.1,0.011,1.0,12.0,20.0
213,decrement,0,4.0,1.29,0.011,8.0,0.0,25.0
213,decrement,5,4.0,1.1,0.011,2.0,0.0,25.0
213,decrement,10,4.0,1.08,0.011,2.0,0.0,25.0
213,decrement,20,4.0,1.09,0.01,2.0,0.0,25.0
213,increment,0,4.0,1.29,0.011,0.0,0.0,25.0
213,increment,5,4.0,1.1,0.011,2.0,0.0,25.0
213,increment,10,4.0,1.08,0.011,4.0,0.0,25.0
213,increment,20,4.0,1.09,0.01,4.0,0.0,25.0
214,decrement,0,4.0,1.09,0.013,4.0,0.0,20.0
214,decrement,5,4.0,1.09,0.011,4.0,0.0,20.0
214,decrement,10,4.0,1.1,0.011,4.0,0.0,20.0
214,decrement,20,4.0,1.1,0.011,4.0,0.0,20.0
214,increment,0,0.0,1.09,0.013,0.0,0.0,20.0
214,increment,5,0.0,1.09,0.011,1.0,0.0,20.0
214,increment,10,0.0,1.1,0.011,0.0,0.0,20.0
214,increment,20,0.0,1.1,0.011,0.0,0.0,20.0
215,decrement,0,3.0,1.12,0.011,3.0,0.0,26.0
215,decrement,5,3.0,1.1,0.011,3.0,0.0,26.0
215,decrement,10,3.0,1.09,0.014,5.0,0.0,26.0
215,decrement,20,3.0,1.1,0.011,3.0,0.0,26.0
215,increment,0,1.0,1.12,0.011,1.0,0.0,26.0
215,increment,5,1.0,1.1,0.011,1.0,0.0,26.0
215,increment,10,1.0,1.09,0.014,1.0,0.0,26.0
215,increment,20,1.0,1.1,0.011,2.0,0.0,26.0
216,decrement,0,4.0,1.11,0.011,4.0,0.0,25.0
216,decrement,5,4.0,1.11,0.011,3.0,0.0,25.0
216,decrement,10,4.0,1.1,0.011,6.0,0.0,25.0
216,decrement,20,4.0,1.1,0.011,3.0,0.0,25.0
216,increment,0,4.0,1.11,0.011,0.0,0.0,25.0
216,increment,5,4.0,1.11,0.011,5.0,0.0,25.0
216,increment,10,4.0,1.1,0.011,4.0,0.0,25.0
216,increment,20,4.0,1.1,0.011,4.0,0.0,25.0
217,decrement,0,2.0,1.09,0.013,4.0,0.0,23.0
217,decrement,5,2.0,1.1,0.011,2.0,0.0,23.0
217,decrement,10,2.0,1.11,0.011,3.0,0.0,23.0
217,decrement,20,2.0,1.1,0.012,2.0,0.0,23.0
217,increment,0,1.0,1.09,0.013,1.0,0.0,23.0
217,increment,5,1.0,1.1,0.011,2.0,0.0,23.0
217,increment,10,1.0,1.11,0.011,1.0,0.0,23.0
217,increment,20,1.0,1.1,0.012,1.0,0.0,23.0
218,decrement,0,4.0,1.14,0.011,4.0,0.0,4.0
218,decrement,5,4.0,1.17,0.011,4.0,0.0,4.0
218,decrement,10,4.0,1.1,0.011,4.0,0.0,4.0
218,decrement,20,4.0,1.1,0.011,4.0,0.0,4.0
218,increment,0,3.0,1.14,0.011,1.0,0.0,4.0
218,increment,5,3.0,1.17,0.011,0.0,0.0,4.0
218,increment,10,3.0,1.1,0.011,3.0,0.0,4.0
218,increment,20,3.0,1.1,0.011,3.0,0.0,4.0
219,decrement,0,8.0,1.13,0.013,8.0,11.0,26.0
219,decrement,5,8.0,1.1,0.011,5.0,11.0,26.0
219,decrement,10,8.0,1.25,0.011,8.0,11.0,26.0
219,decrement,20,8.0,1.1,0.011,8.0,11.0,26.0
219,increment,0,2.0,1.13,0.013,2.0,11.0,26.0
219,increment,5,2.0,1.1,0.011,2.0,11.0,26.0
219,increment,10,2.0,1.25,0.011,0.0,11.0,26.0
219,increment,20,2.0,1.1,0.011,6.0,11.0,26.0
220,decrement,0,5.0,1.07,0.01,4.0,16.0,9.0
220,decrement,5,5.0,1.15,0.01,5.0,16.0,9.0
220,decrement,10,5.0,1.1,0.011,5.0,16.0,9.0
220,decrement,20,5.0,1.11,0.011,5.0,16.0,9.0
220,increment,0,3.0,1.07,0.01,3.0,16.0,9.0
220,increment,5,3.0,1.15,0.01,0.0,16.0,9.0
220,increment,10,3.0,1.1,0.011,3.0,16.0,9.0
220,increment,20,3.0,1.11,0.011,1.0,16.0,9.0
221,decrement,0,3.0,1.09,0.011,1.0,0.0,23.0
221,decrement,5,3.0,1.1,0.011,3.0,0.0,23.0
221,decrement,10,3.0,1.11,0.011,3.0,0.0,23.0
221,decrement,20,3.0,1.1,0.011,2.0,0.0,23.0
221,increment,0,3.0,1.09,0.011,7.0,0.0,23.0
221,increment,5,3.0,1.1,0.011,3.0,0.0,23.0
221,increment,10,3.0,1.11,0.011,3.0,0.0,23.0
221,increment,20,3.0,1.1,0.011,3.0,0.0,23.0
222,decrement,0,2.0,1.1,0.011,2.0,0.0,20.0
222,decrement,5,2.0,1.1,0.011,2.0,0.0,20.0
222,decrement,10,2.0,1.1,0.012,2.0,0.0,20.0
222,decrement,20,2.0,1.1,0.011,2.0,0.0,20.0
222,increment,0,2.0,1.1,0.011,2.0,0.0,20.0
222,increment,5,2.0,1.1,0.011,2.0,0.0,20.0
222,increment,10,2.0,1.1,0.012,2.0,0.0,20.0
222,increment,20,2.0,1.1,0.011,2.0,0.0,20.0
223,decrement,0,2.0,1.12,0.011,2.0,0.0,15.0
223,decrement,5,2.0,1.1,0.012,5.0,0.0,15.0
223,decrement,10,2.0,1.1,0.013,2.0,0.0,15.0
223,decrement,20,2.0,1.11,0.011,2.0,0.0,15.0
223,increment,0,1.0,1.12,0.011,1.0,0.0,15.0
223,increment,5,1.0,1.1,0.012,1.0,0.0,15.0
223,increment,10,1.0,1.1,0.013,1.0,0.0,15.0
223,increment,20,1.0,1.11,0.011,1.0,0.0,15.0
224,decrement,0,4.0,1.15,0.008,5.0,0.0,15.0
224,decrement,5,4.0,1.18,0.008,5.0,0.0,15.0
224,decrement,10,4.0,1.13,0.011,4.0,0.0,15.0
224,decrement,20,4.0,1.11,0.011,4.0,0.0,15.0
224,increment,0,0.0,1.15,0.008,0.0,0.0,15.0
224,increment,5,0.0,1.18,0.008,0.0,0.0,15.0
224,increment,10,0.0,1.13,0.011,0.0,0.0,15.0
224,increment,20,0.0,1.11,0.011,2.0,0.0,15.0
225,decrement,0,3.0,1.09,0.011,3.0,0.0,16.0
225,decrement,5,3.0,1.1,0.011,3.0,0.0,16.0
225,decrement,10,3.0,1.1,0.011,3.0,0.0,16.0
225,decrement,20,3.0,1.1,0.011,3.0,0.0,16.0
225,increment,0,1.0,1.09,0.011,1.0,0.0,16.0
225,increment,5,1.0,1.1,0.011,1.0,0.0,16.0
225,increment,10,1.0,1.1,0.011,1.0,0.0,16.0
225,increment,20,1.0,1.1,0.011,1.0,0.0,16.0
226,decrement,0,2.0,1.11,0.011,7.0,0.0,21.0
226,decrement,5,2.0,1.1,0.011,2.0,0.0,21.0
226,decrement,10,2.0,1.1,0.011,2.0,0.0,21.0
226,decrement,20,2.0,1.1,0.011,4.0,0.0,21.0
226,increment,0,1.0,1.11,0.011,1.0,0.0,21.0
226,increment,5,1.0,1.1,0.011,1.0,0.0,21.0
226,increment,10,1.0,1.1,0.011,1.0,0.0,21.0
226,increment,20,1.0,1.1,0.011,1.0,0.0,21.0
227,decrement,0,3.0,1.11,0.011,3.0,0.0,23.0
227,decrement,5,3.0,1.1,0.011,3.0,0.0,23.0
227,decrement,10,3.0,1.1,0.01,3.0,0.0,23.0
227,decrement,20,3.0,1.1,0.011,3.0,0.0,23.0
227,increment,0,1.0,1.11,0.011,1.0,0.0,23.0
227,increment,5,1.0,1.1,0.011,1.0,0.0,23.0
227,increment,10,1.0,1.1,0.01,1.0,0.0,23.0
227,increment,20,1.0,1.1,0.011,1.0,0.0,23.0
228,decrement,0,2.0,1.12,0.01,2.0,0.0,24.0
228,decrement,5,2.0,1.1,0.011,2.0,0.0,24.0
228,decrement,10,2.0,1.09,0.011,3.0,0.0,24.0
228,decrement,20,2.0,1.1,0.011,5.0,0.0,24.0
228,increment,0,0.0,1.12,0.01,0.0,0.0,24.0
228,increment,5,0.0,1.1,0.011,0.0,0.0,24.0
228,increment,10,0.0,1.09,0.011,0.0,0.0,24.0
228,increment,20,0.0,1.1,0.011,0.0,0.0,24.0
229,decrement,0,2.0,1.1,0.011,2.0,0.0,29.0
229,decrement,5,2.0,1.1,0.011,2.0,0.0,29.0
229,decrement,10,2.0,1.1,0.011,2.0,0.0,29.0
229,decrement,20,2.0,1.08,0.012,2.0,0.0,29.0
229,increment,0,1.0,1.1,0.011,1.0,0.0,29.0
229,increment,5,1.0,1.1,0.011,1.0,0.0,29.0
229,increment,10,1.0,1.1,0.011,1.0,0.0,29.0
229,increment,20,1.0,1.08,0.012,1.0,0.0,29.0
230,decrement,0,4.0,1.09,0.011,4.0,13.0,30.0
230,decrement,5,4.0,1.1,0.011,6.0,13.0,30.0
230,decrement,10,4.0,1.09,0.011,3.0,13.0,30.0
230,decrement,20,4.0,1.11,0.011,4.0,13.0,30.0
230,increment,0,1.0,1.09,0.011,1.0,13.0,30.0
230,increment,5,1.0,1.1,0.011,1.0,13.0,30.0
230,increment,10,1.0,1.09,0.011,1.0,13.0,30.0
230,increment,20,1.0,1.11,0.011,0.0,13.0,30.0
232,decrement,0,2.0,1.12,0.009,2.0,0.0,22.0
232,decrement,5,2.0,1.09,0.011,3.0,0.0,22.0
232,decrement,10,2.0,1.1,0.011,2.0,0.0,22.0
232,decrement,20,2.0,1.1,0.011,2.0,0.0,22.0
232,increment,0,1.0,1.12,0.009,1.0,0.0,22.0
232,increment,5,1.0,1.09,0.011,1.0,0.0,22.0
232,increment,10,1.0,1.1,0.011,1.0,0.0,22.0
232,increment,20,1.0,1.1,0.011,1.0,0.0,22.0
233,decrement,0,2.0,1.1,0.011,2.0,0.0,23.0
233,decrement,5,2.0,1.09,0.013,2.0,0.0,23.0
233,decrement,10,2.0,1.1,0.011,2.0,0.0,23.0
233,decrement,20,2.0,1.1,0.011,2.0,0.0,23.0
233,increment,0,0.0,1.1,0.011,0.0,0.0,23.0
233,increment,5,0.0,1.09,0.013,1.0,0.0,23.0
233,increment,10,0.0,1.1,0.011,0.0,0.0,23.0
233,increment,20,0.0,1.1,0.011,0.0,0.0,23.0
234,decrement,0,6.0,1.18,0.007,4.0,0.0,4.0
234,decrement,5,6.0,1.2,0.011,8.0,0.0,4.0
234,decrement,10,6.0,1.17,0.011,6.0,0.0,4.0
234,decrement,20,6.0,1.16,0.01,5.0,0.0,4.0
234,increment,0,4.0,1.18,0.007,1.0,0.0,4.0
234,increment,5,4.0,1.2,0.011,0.0,0.0,4.0
234,increment,10,4.0,1.17,0.011,0.0,0.0,4.0
234,increment,20,4.0,1.16,0.01,1.0,0.0,4.0
235,decrement,0,2.0,1.04,0.011,1.0,0.0,25.0
235,decrement,5,2.0,1.1,0.011,2.0,0.0,25.0
235,decrement,10,2.0,1.1,0.011,2.0,0.0,25.0
235,decrement,20,2.0,1.08,0.014,2.0,0.0,25.0
235,increment,0,1.0,1.04,0.011,1.0,0.0,25.0
235,increment,5,1.0,1.1,0.011,1.0,0.0,25.0
235,increment,10,1.0,1.1,0.011,1.0,0.0,25.0
235,increment,20,1.0,1.08,0.014,1.0,0.0,25.0
236,decrement,0,3.0,1.11,0.011,5.0,0.0,16.0
236,decrement,5,3.0,1.11,0.011,3.0,0.0,16.0
236,decrement,10,3.0,1.1,0.011,2.0,0.0,16.0
236,decrement,20,3.0,1.11,0.012,3.0,0.0,16.0
236,increment,0,1.0,1.11,0.011,1.0,0.0,16.0
236,increment,5,1.0,1.11,0.011,1.0,0.0,16.0
236,increment,10,1.0,1.1,0.011,1.0,0.0,16.0
236,increment,20,1.0,1.11,0.012,1.0,0.0,16.0
237,decrement,0,5.0,1.11,0.011,4.0,0.0,23.0
237,decrement,5,5.0,1.1,0.011,4.0,0.0,23.0
237,decrement,10,5.0,1.14,0.01,4.0,0.0,23.0
237,decrement,20,5.0,1.1,0.011,5.0,0.0,23.0
237,increment,0,2.0,1.11,0.011,2.0,0.0,23.0
237,increment,5,2.0,1.1,0.011,2.0,0.0,23.0
237,increment,10,2.0,1.14,0.01,2.0,0.0,23.0
237,increment,20,2.0,1.1,0.011,2.0,0.0,23.0
238,decrement,0,4.0,1.09,0.011,4.0,0.0,23.0
238,decrement,5,4.0,1.07,0.011,3.0,0.0,23.0
238,decrement,10,4.0,1.1,0.011,4.0,0.0,23.0
238,decrement,20,4.0,1.1,0.011,4.0,0.0,23.0
238,increment,0,1.0,1.09,0.011,2.0,0.0,23.0
238,increment,5,1.0,1.07,0.011,1.0,0.0,23.0
238,increment,10,1.0,1.1,0.011,1.0,0.0,23.0
238,increment,20,1.0,1.1,0.011,1.0,0.0,23.0
239,decrement,0,8.0,1.09,0.013,8.0,0.0,23.0
239,decrement,5,8.0,1.1,0.009,7.0,0.0,23.0
239,decrement,10,8.0,1.07,0.011,8.0,0.0,23.0
239,decrement,20,8.0,1.08,0.011,0.0,0.0,23.0
239,increment,0,2.0,1.09,0.013,0.0,0.0,23.0
239,increment,5,2.0,1.1,0.009,0.0,0.0,23.0
239,increment,10,2.0,1.07,0.011,3.0,0.0,23.0
239,increment,20,2.0,1.08,0.011,1.0,0.0,23.0
240,decrement,0,4.0,1.07,0.012,4.0,0.0,21.0
240,decrement,5,4.0,1.07,0.012,4.0,0.0,21.0
240,decrement,10,4.0,1.1,0.009,4.0,0.0,21.0
240,decrement,20,4.0,1.09,0.011,4.0,0.0,21.0
240,increment,0,2.0,1.07,0.012,3.0,0.0,21.0
240,increment,5,2.0,1.07,0.012,2.0,0.0,21.0
240,increment,10,2.0,1.1,0.009,2.0,0.0,21.0
240,increment,20,2.0,1.09,0.011,4.0,0.0,21.0
241,decrement,0,3.0,1.11,0.011,3.0,0.0,28.0
241,decrement,5,3.0,1.11,0.01,3.0,0.0,28.0
241,decrement,10,3.0,1.1,0.011,3.0,0.0,28.0
241,decrement,20,3.0,1.1,0.011,3.0,0.0,28.0
241,increment,0,1.0,1.11,0.011,1.0,0.0,28.0
241,increment,5,1.0,1.11,0.01,1.0,0.0,28.0
241,increment,10,1.0,1.1,0.011,1.0,0.0,28.0
241,increment,20,1.0,1.1,0.011,1.0,0.0,28.0
