participant,type,HR,CR,d-prime
201,nonadapt,0.7833333333333333,0.9731481481481481,2.698577945235709
201,adapt,0.55,0.8157407407407408,1.0227317009771548
201,novel,0.7583333333333333,0.9222222222222223,2.1149426163088894
201,human,0.825,0.9731481481481481,2.849176339745431
202,nonadapt,0.7916666666666666,0.9157407407407407,2.1830458639263743
202,adapt,0.625,0.7342592592592593,0.9426491393479063
202,novel,0.775,0.924074074074074,2.1819902148604937
202,human,0.825,0.9342592592592592,2.435154063884236
203,nonadapt,0.6583333333333333,0.9074074074074074,1.7280824696428005
203,adapt,0.6,0.8722222222222222,1.3869172020483758
203,novel,0.6583333333333333,0.9018518518518519,1.6955241148561064
203,human,0.6583333333333333,0.9027777777777778,1.7008556399327737
204,nonadapt,0.6,0.9453703703703704,1.8477862359143153
204,adapt,0.5583333333333333,0.8805555555555555,1.321097749026278
204,novel,0.6,0.9425925925925925,1.8234644823762238
204,human,0.6,0.9416666666666667,1.8155600814792083
205,nonadapt,0.4166666666666667,0.9888888888888889,2.049477797407623
205,adapt,0.4166666666666667,0.975925925925926,1.7521894580171868
205,novel,0.4166666666666667,0.9824074074074074,1.8780078742681439
205,human,0.4166666666666667,0.9814814814814815,1.8579345750472673
206,nonadapt,0.575,0.9888888888888889,2.4483508449507094
206,adapt,0.5,0.9120370370370371,1.349124134561734
206,novel,0.575,0.987037037037037,2.392482474073868
206,human,0.575,0.9990740740740741,3.1077021857232454
207,nonadapt,0.5583333333333333,0.9740740740740741,2.0779325016803214
207,adapt,0.55,0.9583333333333334,1.8486168334469548
207,novel,0.5583333333333333,0.9685185185185186,1.9950540512461306
207,human,0.5583333333333333,0.9694444444444444,2.0080010049404775
208,nonadapt,0.6416666666666667,0.9555555555555556,2.0555521102791863
208,adapt,0.5833333333333334,0.9111111111111111,1.5534626157545277
208,novel,0.65,0.9638888888888889,2.172709100207328
208,human,0.6416666666666667,0.9629629629629629,2.1390038818877484
209,nonadapt,0.525,0.9712962962962963,1.9509761412099482
209,adapt,0.5,0.9296296296296296,1.4677562082428042
209,novel,0.525,0.9722222222222222,1.9649400766308969
209,human,0.525,0.9712962962962963,1.9509761412099482
210,nonadapt,0.6333333333333333,0.9166666666666666,1.718591694099912
210,adapt,0.6083333333333333,0.8333333333333334,1.2397126336798054
210,novel,0.6333333333333333,0.9064814814814814,1.6554632370686473
210,human,0.6333333333333333,0.9111111111111111,1.683495108096579
211,nonadapt,0.4,0.962037037037037,1.5126805333162792
211,adapt,0.4083333333333333,0.9518518518518518,1.424172600733506
211,novel,0.4,0.9537037037037037,1.4212269422221977
211,human,0.4,0.962037037037037,1.5126805333162792
212,nonadapt,0.575,0.9824074074074074,2.2768809218112303
212,adapt,0.48333333333333334,0.8731481481481481,1.0966995216873394
212,novel,0.575,0.9712962962962963,2.077173821643601
212,human,0.575,0.9796296296296296,2.21899376298246
213,nonadapt,0.5833333333333334,0.9824074074074074,2.298154000446402
213,adapt,0.5583333333333333,0.9259259259259259,1.5875667979172343
213,novel,0.5666666666666667,0.9518518518518518,1.823226261525766
213,human,0.5833333333333334,0.9796296296296296,2.2402668416176317
214,nonadapt,0.6583333333333333,0.9694444444444444,2.26870315602167
214,adapt,0.5166666666666667,0.8472222222222222,1.0638673455390453
214,novel,0.6583333333333333,0.9685185185185186,2.255756202327323
214,human,0.6583333333333333,0.9694444444444444,2.26870315602167
215,nonadapt,0.6083333333333333,0.9842592592592593,2.4054617951801247
215,adapt,0.5583333333333333,0.9092592592592592,1.47855009616356
215,novel,0.6083333333333333,0.9814814814814815,2.342516175581527
215,human,0.6083333333333333,0.9907407407407407,2.5980217409675093
216,nonadapt,0.5083333333333333,0.975,1.9674720753520016
216,adapt,0.44166666666666665,0.9777777777777777,1.8485788422817415
216,novel,0.5083333333333333,0.9888888888888889,2.280406184817331
216,human,0.5083333333333333,0.9925925925925926,2.419540423000414
217,nonadapt,0.65,0.9805555555555555,2.433381313598919
217,adapt,0.5666666666666667,0.9518518518518518,1.823226261525766
217,novel,0.6583333333333333,0.975,2.3538179338389966
217,human,0.65,0.9972222222222222,3.071623104648219
218,nonadapt,0.4083333333333333,0.9777777777777777,1.7636362271902817
218,adapt,0.39166666666666666,0.9472222222222222,1.3371153201656274
218,novel,0.4,0.9592592592592593,1.4805668783805488
218,human,0.4,0.9601851851851851,1.4910724372398807
219,nonadapt,0.31666666666666665,0.9888888888888889,1.7833670434716378
219,adapt,0.31666666666666665,0.9861111111111112,1.701958378127573
219,novel,0.31666666666666665,0.9879629629629629,1.7545629047106528
219,human,0.31666666666666665,0.987037037037037,1.7274986725947963
220,nonadapt,0.44166666666666665,0.9037037037037037,1.1525239786113703
220,adapt,0.43333333333333335,0.9092592592592592,1.1644390504627602
220,novel,0.43333333333333335,0.9148148148148149,1.1989877676115106
220,human,0.43333333333333335,0.9148148148148149,1.1989877676115106
221,nonadapt,0.625,0.9842592592592593,2.449044174611808
221,adapt,0.5416666666666666,0.8796296296296297,1.2744510221545364
221,novel,0.625,0.9898148148148148,2.608452410957831
221,human,0.625,0.9981481481481481,3.102566567358961
222,nonadapt,0.6333333333333333,0.9694444444444444,2.201607528645276
222,adapt,0.4583333333333333,0.8361111111111111,0.871880713305725
222,novel,0.6333333333333333,0.9685185185185186,2.188660574950929
222,human,0.6333333333333333,0.9694444444444444,2.201607528645276
223,nonadapt,0.5916666666666667,0.9916666666666667,2.5908758022672296
223,adapt,0.5166666666666667,0.9037037037037037,1.3407427348235126
223,novel,0.5916666666666667,0.9796296296296296,2.261635425346344
223,human,0.5916666666666667,0.9972222222222222,2.9184180224264002
224,nonadapt,0.4583333333333333,0.9861111111111112,2.073683473617646
224,adapt,0.4583333333333333,0.9685185185185186,1.7440962979847077
224,novel,0.475,0.9907407407407407,2.260910899502074
224,human,0.475,0.9972222222222222,2.6243740715882544
225,nonadapt,0.6166666666666667,0.9824074074074074,2.3843103235136027
225,adapt,0.5666666666666667,0.9481481481481482,1.7877853600431561
225,novel,0.6166666666666667,0.9740740740740741,2.2276628561102694
225,human,0.6166666666666667,0.9824074074074074,2.3843103235136027
226,nonadapt,0.625,0.924074074074074,1.7461909080854001
226,adapt,0.575,0.862037037037037,1.2755875414826032
226,novel,0.6166666666666667,0.9787037037037037,2.308555071477243
226,human,0.625,0.9805555555555555,2.3668255014360726
227,nonadapt,0.7416666666666667,0.9564814814814815,2.350312781300373
227,adapt,0.6,0.8379629629629629,1.2367471870909967
227,novel,0.725,0.9611111111111111,2.351329039803503
227,human,0.7416666666666667,0.9611111111111111,2.401939404580325
228,nonadapt,0.7416666666666667,0.9462962962962963,2.2504394497272724
228,adapt,0.48333333333333334,0.8527777777777777,1.004155999631814
228,novel,0.7333333333333333,0.9555555555555556,2.315010425722819
228,human,0.75,0.9935185185185185,3.1152025508014836
229,nonadapt,0.7166666666666667,0.9518518518518518,2.2275172539208272
229,adapt,0.6583333333333333,0.8592592592592593,1.4815262367677837
229,novel,0.7166666666666667,0.9527777777777777,2.2367103795968397
229,human,0.7166666666666667,0.950925925925926,2.2184619577848768
230,nonadapt,0.6166666666666667,0.9935185185185185,2.7382506216982803
230,adapt,0.5666666666666667,0.8574074074074074,1.2337205952533372
230,novel,0.6166666666666667,0.9824074074074074,2.3843103235136027
230,human,0.6166666666666667,0.9944444444444445,2.78672472468915
232,nonadapt,0.675,0.9731481481481481,2.3696361229766985
232,adapt,0.5166666666666667,0.8814814814814815,1.220949918149238
232,novel,0.675,0.9648148148148148,2.2525953706676454
232,human,0.6833333333333333,0.9962962962962963,3.086004260258294
233,nonadapt,0.825,0.9175925925925926,2.316996578847979
233,adapt,0.5333333333333333,0.8611111111111112,1.166126924469226
233,novel,0.7833333333333333,0.9185185185185185,2.172465643661911
233,human,0.8333333333333334,0.9703703703703703,2.8399727910714936
234,nonadapt,0.26666666666666666,0.9638888888888889,1.1663177668565712
234,adapt,0.26666666666666666,0.9592592592592593,1.1117387223717916
234,novel,0.275,0.9703703703703703,1.2781301814808557
234,human,0.26666666666666666,0.9694444444444444,1.239757368902999
235,nonadapt,0.6916666666666667,0.8583333333333333,1.5698819996692162
235,adapt,0.6,0.725,0.8495549616583026
235,novel,0.6916666666666667,0.8666666666666667,1.6076162367308127
235,human,0.6916666666666667,0.8638888888888889,1.5948647586250582
236,nonadapt,0.6583333333333333,0.9685185185185186,2.255756202327323
236,adapt,0.5916666666666667,0.8962962962962963,1.4885174250253888
236,novel,0.65,0.9768518518518519,2.363050650556421
236,human,0.6583333333333333,0.9962962962962963,3.017021626040754
237,nonadapt,0.6166666666666667,0.9722222222222222,2.198567158766922
237,adapt,0.5666666666666667,0.9138888888888889,1.5283403503231032
237,novel,0.6333333333333333,0.9592592592592593,2.0735888821140684
237,human,0.6166666666666667,0.9916666666666667,2.655663541605718
238,nonadapt,0.575,0.9527777777777777,1.8536073576813172
238,adapt,0.5416666666666666,0.9111111111111111,1.44784827420044
238,novel,0.6,0.9712962962962963,2.141290285491983
238,human,0.6,0.9740740740740741,2.184349918256279
239,nonadapt,0.4,0.9962962962962963,2.3569039949308404
239,adapt,0.4,0.9351851851851852,1.2569487156547319
239,novel,0.4,0.9907407407407407,2.070596755220039
239,human,0.4,0.9935185185185185,2.1891047872396108
240,nonadapt,0.625,0.9712962962962963,2.2064647540664577
240,adapt,0.525,0.8203703703703704,0.977347553220014
240,novel,0.625,0.9712962962962963,2.2064647540664577
240,human,0.625,0.9703703703703703,2.192859611713633
241,nonadapt,0.6333333333333333,0.9879629629629629,2.570852277166947
241,adapt,0.6,0.9148148148148149,1.6195162298882684
241,novel,0.6333333333333333,0.9861111111111112,2.518247750583867
241,human,0.6333333333333333,0.9842592592592593,2.471058813166174
