index,T,dof,alternative,p-val,CI95%,cohen-d,BF10,power
chan_0_alpha0,-8.615809852356278,39,two-sided,1.4563129800211076e-10,[-1.57 -0.97],1.3622791510182441,7.101e+07,0.9999999999369784
chan_0_alpha1,-7.508659759769573,39,two-sided,4.335904006076215e-09,[-0.26 -0.15],1.1872233508062295,2.832e+06,0.9999999572571273
chan_0_beta0,7.122588802838854,39,two-sided,1.4554718164075521e-08,[0.56 1.  ],1.1261801726891374,9.018e+05,0.9999996813823522
chan_0_exponent1,4.8072908238340375,39,two-sided,2.296220649359226e-05,[0.04 0.1 ],0.760099418907141,934.253,0.9967946809368325
chan_11_alpha0,-2.4900574022268054,39,two-sided,0.017141495517563707,[-0.46 -0.05],0.39371264477993667,2.582,0.6802595727763621
chan_11_alpha1,-1.6096531837029129,39,two-sided,0.11553941954525025,[-0.07  0.01],0.2545085151721315,0.557,0.3485119891439478
chan_11_exponent1,6.068464865916933,39,two-sided,4.1603464325991085e-07,[0.04 0.08],0.9595085438502909,3.861e+04,0.9999615430452665
chan_12_exponent0,1.5346016849391808,39,two-sided,0.13295520363715801,[-0.01  0.06],0.2426418312769963,0.501,0.32192476398716185
chan_12_exponent1,5.053125337470357,39,two-sided,1.0589655362351635e-05,[0.03 0.07],0.7989692684356656,1905.66,0.9984884769551275
chan_13_alpha0,-7.129342080667967,39,two-sided,1.4248212025405689e-08,[-0.96 -0.54],1.1272479596697331,9.201e+05,0.9999996920231492
chan_13_alpha1,-7.591414600052787,39,two-sided,3.3501338546613777e-09,[-0.15 -0.09],1.2003080399411499,3.616e+06,0.9999999727009271
chan_13_beta0,1.5464901511743618,39,two-sided,0.130063335596752,[-0.05  0.36],0.24452156283645518,0.51,0.32607887974482963
chan_13_beta1,-2.8811440366073118,39,two-sided,0.006409168043062424,[-0.04 -0.01],0.4555488711345324,5.975,0.8022218648946954
chan_13_exponent0,-2.848082457060988,39,two-sided,0.006984517963960923,[-0.06 -0.01],0.45032137641407144,5.548,0.7931396855522838
chan_14_alpha0,-6.539709288653727,39,two-sided,9.237730994193451e-08,[-1.24 -0.65],1.0340188293752661,1.582e+05,0.9999948892972825
chan_14_alpha1,-6.120294998274966,39,two-sided,3.5248638467028683e-07,[-0.2 -0.1],0.9677036073342598,4.508e+04,0.9999688945341749
chan_14_exponent0,-0.6954806256707381,39,two-sided,0.490877766381287,[-0.05  0.02],0.10996514228192511,0.214,0.10417761491250291
chan_15_alpha1,-4.6463256208313295,39,two-sided,3.796878350976464e-05,[-0.16 -0.06],0.7346485856311444,588.884,0.9949040570558533
chan_15_exponent0,-0.4798528490065483,39,two-sided,0.6340123601749705,[-0.04  0.03],0.07587139722907792,0.19,0.07546189553703188
chan_15_exponent1,2.28291322194202,39,two-sided,0.027968197124004883,[0.   0.05],0.36096027409251336,1.717,0.6050836232843011
chan_16_alpha1,-6.134412736040368,39,two-sided,3.369276335370658e-07,[-0.2 -0.1],0.9699358176716422,4.703e+04,0.9999706534222204
chan_16_alpha2,-6.706383272635867,39,two-sided,5.435303210453111e-08,[-0.6  -0.32],1.0603723001791656,2.605e+05,0.9999976146092048
chan_16_exponent0,-2.27649385475497,39,two-sided,0.028385141518985517,[-0.08 -0.  ],0.3599452830201121,1.696,0.6026726621148869
chan_18_alpha0,-7.396604363861803,39,two-sided,6.15428353061437e-09,[-1.33 -0.76],1.1695058370472062,2.034e+06,0.9999999223435346
chan_18_alpha1,-7.953479031756827,39,two-sided,1.0921419048939375e-09,[-0.24 -0.14],1.257555453137112,1.046e+07,0.9999999964343023
chan_18_beta0,1.323652336083818,39,two-sided,0.19332549641441782,[-0.09  0.41],0.20928781061137722,0.383,0.2523877165707467
chan_18_beta1,-3.7060804634678193,39,two-sided,0.0006521404150365602,[-0.05 -0.01],0.5859827728205379,44.719,0.9508755645747445
chan_18_exponent0,-1.089128971290476,39,two-sided,0.28278142583672583,[-0.06  0.02],0.172206410747702,0.296,0.18597571970902935
chan_18_exponent1,2.515759396064102,39,two-sided,0.016105633308075618,[0.01 0.06],0.39777648682661015,2.721,0.6891616814805356
chan_20_exponent1,5.846206546197185,39,two-sided,8.470082650670307e-07,[0.04 0.08],0.9243664178884747,1.987e+04,0.9999070647114969
chan_24_exponent0,1.4031632748147733,39,two-sided,0.1684799780581074,[-0.01  0.06],0.22185959387577306,0.422,0.2776103587431617
chan_25_exponent0,3.2326121214974686,39,two-sided,0.002496902974857141,[0.02 0.1 ],0.5111208547900478,13.587,0.883386485685813
chan_26_exponent1,6.134331056502572,39,two-sided,3.3701564242867893e-07,[0.05 0.1 ],0.9699229030027586,4.701e+04,0.9999706435224606
chan_28_alpha0,-7.189021088870586,39,two-sided,1.180700301058926e-08,[-1.38 -0.77],1.1366840393907405,1.099e+06,0.9999997722964883
chan_28_alpha1,-6.5922297160490135,39,two-sided,7.814875880115349e-08,[-0.23 -0.12],1.0423230380879966,1.852e+05,0.9999959692422123
chan_28_exponent0,2.1957195264500813,39,two-sided,0.03412682128521194,[0.   0.09],0.3471737403244292,1.458,0.5720298503771406
chan_29_alpha1,-7.452445339527625,39,two-sided,5.168005131883933e-09,[-0.25 -0.14],1.1783350705407079,2.399e+06,0.9999999422466506
chan_29_exponent0,1.8812927667853887,39,two-sided,0.06741232604868139,[-0.    0.09],0.2974585044320898,0.843,0.4503174731315154
chan_2_alpha0,-8.180174678338593,39,two-sided,5.450430825287275e-10,[-1.39 -0.84],1.2933991820792596,2.024e+07,0.9999999990624063
chan_3_alpha0,-8.051116155634853,39,two-sided,8.090685705005251e-10,[-1.44 -0.86],1.272993237919241,1.391e+07,0.9999999979825547
chan_3_alpha1,-6.930723452095102,39,two-sided,2.6680728923227728e-08,[-0.25 -0.14],1.0958435970682705,5.091e+05,0.9999991780896959
chan_3_beta0,7.918986293238459,39,two-sided,1.2145369837112825e-09,[0.58 0.98],1.252101672314379,9.459e+06,0.9999999956487454
chan_4_exponent1,4.35417192442994,39,two-sided,9.365989351528592e-05,[0.03 0.08],0.6884550302578579,258.103,0.9888352334857913
chan_8_exponent0,1.5285778475987744,39,two-sided,0.13444011858944302,[-0.01  0.06],0.24168937896449347,0.497,0.3198285470380953
chan_8_exponent1,4.000360806865369,39,two-sided,0.00027356209428385794,[0.02 0.07],0.6325125806081754,97.644,0.9738153273026676
